venue,city,country,match_type,temperature,humidity,wind_speed,dew_point,cloud_cover,pitch_age_days,ground_avg_1st_innings,ground_pace_wickets_pct,ground_spin_wickets_pct,season,day_night,soil_composition,pitch_strip_number,grass_coverage,compaction_kpa,pitch_type
Brabourne Stadium,Mumbai,India,T20,32.00180478322583,84.22734131308579,5.244824056730819,15.791281972550728,54.81248886968028,6,175.90825370840687,52.813842503999844,47.186157496000156,Summer,0,Mixed Soil,6,6.6650767439030405,350.72585431356146,1
Brabourne Stadium,Mumbai,India,T20,32.51380120522909,71.35096315717871,14.075688182273698,18.276281822384234,78.89590945082867,4,176.17372881718148,55.77985915275421,44.22014084724579,Monsoon,1,Red Soil,10,7.53183152898997,339.3869451353547,1
Arun Jaitley Stadium,Delhi,India,T20,33.46391769030198,65.6766398053716,9.430262711725625,11.639374092149888,16.86141325479273,3,179.31304133214343,47.31657056471195,52.68342943528805,Summer,1,Mixed Soil,9,2.7785935876800636,200.83429045703642,0
Green Park,Kanpur,India,T20,31.270316277955565,54.758552182969794,13.156441129192702,9.171376720577335,27.96723324013937,1,154.6518016055585,38.71440396773331,61.28559603226669,Monsoon,1,Red Soil,9,1.4610026611681082,273.41391772957405,2
Sawai Mansingh Stadium,Jaipur,India,T20,33.84490631917142,61.31351405759903,8.256374638757812,13.150592829341731,53.87546938765739,5,160.79130485260447,38.79450941329662,61.20549058670338,Summer,1,Red Soil,10,2.3449858851970995,259.88642976215056,2
Dr DY Patil Sports Academy,Mumbai,India,ODI,31.502361575869347,67.9784949836369,17.283876187787058,18.352296235733395,44.01281537556842,4,270.0350491673244,59.48757282567648,40.51242717432352,Summer,1,Black Soil,5,7.701866647264772,340.0939029213475,1
Eden Gardens,Kolkata,India,ODI,24.25066226416788,32.187537858499866,3.3865019382279886,11.011012689594073,43.795032987915604,3,250.07946078207866,36.07701467432668,63.92298532567332,Summer,0,Mixed Soil,8,3.3850186821605037,148.31911599950615,2
Rajiv Gandhi International Stadium,Hyderabad,India,T20,24.090718307230606,56.64750736609614,11.18867801166139,12.623400177212822,3.186727203453998,7,180.3509074971947,50.86140969083763,49.13859030916237,Winter,1,Black Soil,7,6.902668336981373,279.2289967637139,0
Barabati Stadium,Cuttack,India,T20,32.340444983658315,76.63932376894363,22.31651445609781,16.244947782708596,37.92546627950555,1,144.61532928907846,49.75146313208493,50.24853686791507,Summer,1,Black Soil,5,5.9444432572530665,283.8137167473804,1
Brabourne Stadium,Mumbai,India,T20,40.65544986402932,77.38732263258795,10.052309399840679,12.471814877074763,57.889652171564386,1,161.79243782173535,51.68085294827238,48.31914705172762,Monsoon,0,Mixed Soil,4,6.892621418613362,342.861432333259,1
Green Park,Kanpur,India,T20,32.122747067805705,73.98308887653847,10.65137260736443,18.93095804409223,24.015496832138655,5,138.93123713882545,37.45474409574829,62.54525590425171,Summer,1,Red Soil,10,1.5143359849307367,206.92446018681727,2
Green Park,Kanpur,India,T20,30.836949895458265,42.48775995941793,12.230361007410403,13.18006607863688,8.036673197120539,3,136.8853733649684,39.64342957254566,60.35657042745434,Summer,1,Mixed Soil,5,2.357634008668141,209.29130698012713,2
Narendra Modi Stadium,Ahmedabad,India,T20,32.715025753846454,70.96482789594789,10.91617218610953,10.102123873118,4.90049761659537,5,201.3204145090875,57.327883406114175,42.672116593885825,Summer,1,Red Soil,3,4.253733150690643,109.6477158978256,2
Narendra Modi Stadium,Ahmedabad,India,T20,30.34622840590195,55.388469134386135,17.037409306568584,15.362339627606982,49.16665345209087,7,119.89621377731751,45.13994359543767,54.86005640456233,Monsoon,1,Red Soil,1,1.4462171596854991,118.2938279649594,2
JSCA International Stadium Complex,Ranchi,India,T20,32.954056749797054,44.70579736666348,8.361634528190196,19.011031301218416,46.83853961408637,1,194.42275836374037,47.7639545660008,52.2360454339992,Monsoon,0,Mixed Soil,2,3.597054129615101,297.6998716508489,2
Holkar Cricket Stadium,Indore,India,T20,41.06989615013568,75.39897994666171,5.7337832472059,13.850466553803296,2.8042759595859295,1,172.52928572152604,58.64682896710587,41.35317103289413,Monsoon,1,Mixed Soil,4,3.518780339898305,253.37199366176054,1
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,T20,28.882242290535704,39.600809883821356,9.528687228737216,7.969086434573475,2.7250046013982043,7,211.84343646462256,38.70061934980775,61.29938065019225,Winter,1,Mixed Soil,9,7.306444350978365,332.20268676961626,0
Narendra Modi Stadium,Ahmedabad,India,ODI,27.05257168628705,47.81138800275257,13.88668788030872,16.739064297866474,26.724566432937817,2,267.0558947806471,32.71535476496414,67.28464523503587,Monsoon,1,Red Soil,5,2.778603867551507,182.2336390590492,2
JSCA International Stadium Complex,Ranchi,India,T20,31.21262139031147,51.00109711018838,6.392209832285763,16.265977046693234,32.85969483490323,3,211.04970279647307,61.58683921980194,38.41316078019806,Post-Monsoon,0,Black Soil,1,2.6264970225494184,219.50354112066327,0
Arun Jaitley Stadium,Delhi,India,T20,34.70975392623272,56.90746439678672,4.44784657792761,13.113900770200203,40.80177849584343,7,166.15426956383735,40.97309531776944,59.02690468223056,Summer,1,Red Soil,9,2.6830750145229625,208.57459864965784,2
Holkar Cricket Stadium,Indore,India,T20,29.51234167471484,28.162616827778425,11.639977418570549,21.909400856656738,1.255049091844974,5,199.37601451637698,48.50940523336922,51.49059476663078,Post-Monsoon,1,Black Soil,7,3.998315741466185,368.5020067614531,0
Barabati Stadium,Cuttack,India,T20,35.975738104671166,77.70691106359789,19.139940883985297,19.813716185861168,53.464007948902506,3,149.6566758873939,61.38176060741422,38.61823939258578,Winter,1,Black Soil,7,6.023372356237101,382.70611920602937,1
Punjab Cricket Association IS Bindra Stadium,Mohali,India,Test,30.732187308407198,35.763906496267396,7.408600788168627,21.04491373310689,49.02574383974931,1,314.62353057126757,40.89026106847681,59.10973893152319,Monsoon,0,Red Soil,6,1.81019173111397,261.15438890413674,2
Dr DY Patil Sports Academy,Mumbai,India,T20,19.834841965607602,75.95676747739338,15.36016786616289,22.65556114149077,87.55661299632655,4,132.87993050876682,56.98246738398501,43.01753261601499,Post-Monsoon,1,Red Soil,10,7.420891531751646,358.09627936295317,1
Holkar Cricket Stadium,Indore,India,ODI,31.937603570794785,54.514462110662436,5.6832736763030915,14.409885279038589,31.644504286048107,3,304.43325899105923,40.53171134417273,59.46828865582727,Post-Monsoon,1,Black Soil,10,6.72218332148846,296.5385297034346,0
Punjab Cricket Association IS Bindra Stadium,Mohali,India,T20,36.315842361747954,62.13832177336485,14.209100334450309,17.216466005296372,86.20836820761387,4,160.48644284494702,32.97182166346789,67.02817833653211,Summer,1,Black Soil,1,3.176141024277714,256.3152177737213,1
Rajiv Gandhi International Stadium,Hyderabad,India,T20,27.823454839898304,56.715275878220915,12.620939214063855,16.105096717314215,3.9191505543679384,3,132.6125530772049,45.22579173089331,54.77420826910669,Winter,1,Mixed Soil,7,5.552930439331905,336.2208644426407,0
Vidarbha Cricket Association Stadium,Nagpur,India,T20,30.281554344674166,53.55808925654044,14.102642377087093,13.425035311101711,46.46567962610648,1,159.15154657786167,48.05966266137496,51.94033733862504,Winter,1,Red Soil,10,0.4124913321025194,236.14110687700958,2
Eden Gardens,Kolkata,India,ODI,29.8604637344697,53.571271065244076,15.446087483553963,20.310744529070767,33.47896543602493,1,299.77888957052676,46.24920793895526,53.75079206104474,Summer,1,Red Soil,1,0.7233561849219805,180.59330731331738,2
Maharashtra Cricket Association Stadium,Pune,India,T20,32.571309873039674,37.472928790952054,12.37348544231601,14.475653397249094,0.0,7,198.5825281120368,44.72879809301156,55.27120190698844,Monsoon,1,Mixed Soil,3,3.518575084968667,309.25506983127127,0
Rajiv Gandhi International Stadium,Hyderabad,India,Test,29.628855396542484,31.800848381005487,15.336112082859916,13.67404731161098,59.5210337807023,2,355.38519624838756,51.790207152370364,48.209792847629636,Summer,0,Black Soil,10,7.61547079358063,343.122151080975,0
Punjab Cricket Association IS Bindra Stadium,Mohali,India,T20,30.896548608184574,55.0808067489482,5.833155970252971,8.641730026764124,0.0,3,140.41754951422863,45.330597720485336,54.669402279514664,Monsoon,1,Black Soil,1,7.48701609237313,308.23973479629194,0
Punjab Cricket Association IS Bindra Stadium,Mohali,India,ODI,31.741302597661527,59.04922452068011,8.303707580579923,19.255406130937434,9.877359024867111,5,270.1394593719699,69.78138981276666,30.218610187233338,Post-Monsoon,1,Black Soil,2,6.579786111891111,243.66080712692832,1
Holkar Cricket Stadium,Indore,India,ODI,32.721205435830214,39.930016540585015,13.327926181567147,19.341148017783638,43.06369095921906,4,285.33425249624435,46.5306155556287,53.4693844443713,Post-Monsoon,1,Black Soil,5,1.7528908736773143,304.89766843466094,0
Arun Jaitley Stadium,Delhi,India,T20,28.122079066860838,31.46745507146834,1.0,12.826017968269461,88.24913026944284,3,174.56745397220024,37.12818108310317,62.87181891689683,Winter,0,Mixed Soil,4,2.1432119647628376,199.9738736507869,2
Barabati Stadium,Cuttack,India,T20,26.246510871076964,83.67160030933712,23.144684738119956,17.11940192139435,32.47069557427969,4,194.38725539904513,59.680712282639185,40.319287717360815,Summer,1,Black Soil,1,10.13761394067678,325.91686175624534,1
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,T20,29.20574316788658,56.8803413583608,2.1712046390974287,17.549883610604486,23.14703101240965,2,190.2518785361384,29.845917560796227,70.15408243920378,Monsoon,1,Red Soil,9,0.9643573277786164,242.9508213454419,0
Arun Jaitley Stadium,Delhi,India,ODI,31.813552962479775,37.8890314547396,13.534248204495254,17.650663881541934,43.47083462843422,5,282.24373574052777,39.26612409827608,60.73387590172392,Post-Monsoon,0,Red Soil,2,2.1315001379985077,127.3236209821311,2
Punjab Cricket Association IS Bindra Stadium,Mohali,India,T20,27.444810747076325,50.08115503852307,11.671475642488572,15.204568234208647,18.158223896546314,4,184.8040604084392,54.91530137840758,45.08469862159242,Summer,1,Red Soil,5,2.8247509396035184,273.93711683319196,0
Sawai Mansingh Stadium,Jaipur,India,T20,27.401220854048987,53.46796410688676,2.725887573711054,20.344744400048683,62.4548996713075,1,159.44461864533477,51.907634702712585,48.092365297287415,Post-Monsoon,0,Mixed Soil,5,1.918574211522401,276.2488431939148,0
Maharashtra Cricket Association Stadium,Pune,India,T20,27.65014638365923,54.06082878802909,18.055580742498105,10.110502749840387,40.47879469075272,6,209.85450153245426,38.75144634523335,61.24855365476665,Summer,1,Black Soil,9,3.7191173807168836,336.567057948914,0
Eden Gardens,Kolkata,India,ODI,36.097788867764955,42.84136202632004,6.816923584488821,17.164526443218126,51.78438261141261,3,279.8581860065965,28.0,72.0,Post-Monsoon,1,Red Soil,7,2.7823313339059164,123.81327823004699,2
Barabati Stadium,Cuttack,India,ODI,29.966578086707006,64.01830158189233,22.25589424510532,19.23739031372103,52.70636882736056,6,275.9160958489292,53.45608140717088,46.54391859282912,Winter,1,Black Soil,3,5.470904194459477,361.31891879115034,1
Maharashtra Cricket Association Stadium,Pune,India,ODI,29.378922938202674,25.821105471937592,8.447580119020282,13.855108200637323,30.821675497510345,3,268.1419522175311,53.19605900228869,46.80394099771131,Summer,1,Black Soil,7,5.548795097542332,422.37082418756506,0
Sawai Mansingh Stadium,Jaipur,India,T20,24.077313577971125,53.13707913870493,8.04768025268595,22.39130005182418,31.168199856290926,1,201.69352744462944,40.17007441774394,59.82992558225606,Monsoon,0,Red Soil,10,4.574920474824212,253.23811008540872,0
Rajiv Gandhi International Stadium,Hyderabad,India,Test,30.929748694090215,39.268499767697335,8.288295306680588,14.673648921259517,0.0,3,316.3120512191493,44.81825043064256,55.18174956935744,Summer,0,Black Soil,1,5.677266054912202,342.2566389873408,0
M. Chinnaswamy Stadium,Bengaluru,India,T20,40.530409130736295,56.462451783424186,11.938515706310074,14.33228827956574,52.969069078417405,3,206.76567449598093,44.82941665090172,55.17058334909828,Winter,1,Mixed Soil,5,3.7487325458460825,310.4066637175217,0
Narendra Modi Stadium,Ahmedabad,India,ODI,29.300905088827633,55.08300391030739,8.771192499935493,18.80821461255956,0.0,1,251.81248896782833,43.70173736546687,56.29826263453313,Summer,0,Red Soil,8,1.4018126609848887,214.94476727405848,2
Vidarbha Cricket Association Stadium,Nagpur,India,T20,35.1966944857654,38.31253539050624,5.447125580392757,17.234195837096895,30.12620545392239,1,179.24466319560844,48.89082566563763,51.10917433436237,Monsoon,1,Red Soil,2,2.136859394726846,287.5166139684693,2
Wankhede Stadium,Mumbai,India,T20,27.59619047112809,58.71035633858472,14.519105315383339,25.51207542939721,1.8237674018176975,3,142.69085728696467,69.53719188252052,30.462808117479483,Monsoon,0,Mixed Soil,9,3.6495977021844235,279.6208856128263,1
Punjab Cricket Association IS Bindra Stadium,Mohali,India,T20,32.112574905818505,53.05554810376642,13.888836945424627,18.228033127777884,0.0,1,115.56009178250117,57.013963181212056,42.986036818787944,Winter,1,Black Soil,5,2.1628785648759923,213.60658373817486,0
Sawai Mansingh Stadium,Jaipur,India,T20,29.51313321365722,39.389301919396786,10.057256458353272,13.802941184458975,12.668506073966046,5,210.07262431899233,63.281347216577046,36.718652783422954,Post-Monsoon,1,Black Soil,6,2.3424692839435703,274.2007729718912,0
M. Chinnaswamy Stadium,Bengaluru,India,T20,33.96005694521734,59.279781683838735,11.703957040010529,7.865555481143266,36.83966370303226,2,160.5250492441991,62.45453295440659,37.54546704559341,Monsoon,0,Black Soil,2,6.538830900443418,351.48460375851437,0
Barabati Stadium,Cuttack,India,ODI,30.58796521799536,72.78501706951742,8.486739415827678,20.795211552733612,50.245949595150215,2,309.5463456661821,64.18804294538167,35.81195705461833,Monsoon,0,Mixed Soil,2,6.6105309452604955,330.8688706842004,1
Holkar Cricket Stadium,Indore,India,T20,33.04488725819014,56.08644057913205,1.06646244315961,14.50926145001949,56.90543048979832,1,214.509616998801,49.311305655211676,50.688694344788324,Monsoon,1,Black Soil,8,2.874451758962909,365.50722071376606,0
Barabati Stadium,Cuttack,India,ODI,24.023176484556522,67.85161423885833,16.086155974052623,20.191667018442384,39.286329622291575,4,275.5634659293378,51.08413981753899,48.91586018246101,Winter,1,Mixed Soil,5,5.495018549676988,330.98469750402586,0
M. Chinnaswamy Stadium,Bengaluru,India,T20,26.35168194906285,23.483492163383097,1.0,15.116439786306676,35.68018011671938,2,190.12607981207535,28.0,72.0,Post-Monsoon,1,Black Soil,8,6.84215730270536,289.2498655798729,0
Vidarbha Cricket Association Stadium,Nagpur,India,T20,36.70994113473802,74.88602678133776,8.320303874799261,22.62024085625788,35.782682493661746,6,203.58120258742377,48.253610802772066,51.746389197227934,Monsoon,1,Black Soil,6,4.657854050757102,355.1541471747014,0
Wankhede Stadium,Mumbai,India,Test,27.040999268395165,83.81181767859745,15.155427938855764,22.114303658047223,52.307674881036434,5,358.8045559648088,43.50398254418528,56.49601745581472,Post-Monsoon,0,Black Soil,6,2.894252161101472,307.3714940263593,0
Maharashtra Cricket Association Stadium,Pune,India,T20,29.372225004909765,43.396636245870994,9.767063648303303,16.115457138588955,12.826355108282016,2,199.43823785071461,33.86442997350471,66.13557002649529,Post-Monsoon,1,Black Soil,4,4.481521060606033,330.05647069961407,0
Barabati Stadium,Cuttack,India,Test,24.555580396329766,56.76436929228967,9.533380710563087,22.155666668674826,79.3888423302218,7,320.51053235873076,31.87442265889164,68.12557734110837,Summer,0,Black Soil,1,5.105677781261964,271.6225117735373,1
Dr DY Patil Sports Academy,Mumbai,India,T20,25.550728162097826,78.225382000766,7.3217896503694035,22.55876682128001,54.25617004197787,6,192.4624740789944,58.20323494921449,41.79676505078551,Post-Monsoon,0,Mixed Soil,2,3.3074588875744295,303.14638114476713,1
Green Park,Kanpur,India,T20,28.511329198982967,63.83626688560321,15.78753879010567,20.745207026253162,46.64709495676588,3,194.99543166588538,28.907332222092926,71.09266777790708,Monsoon,1,Mixed Soil,4,2.6430710333528706,166.42753904016314,2
Rajiv Gandhi International Stadium,Hyderabad,India,T20,30.07092268030306,51.98427274343884,10.030083402180358,16.79329626389264,60.63676578203789,4,221.71962860254658,53.71637508828482,46.28362491171518,Winter,1,Black Soil,4,4.368184886376569,362.3130259197615,0
Wankhede Stadium,Mumbai,India,T20,33.801225033037284,75.76166904044244,13.221508422144826,22.343365027732094,0.0,3,162.2361835987528,44.56759854357961,55.43240145642039,Summer,1,Mixed Soil,10,3.5939280496501738,297.95540811544777,1
Green Park,Kanpur,India,ODI,32.632144707525065,72.01936718048191,10.655135580967098,10.990624077236795,32.58599606272562,5,269.216563803818,32.84956299640995,67.15043700359004,Winter,1,Red Soil,5,3.6092293086249208,166.7305937092628,2
Maharashtra Cricket Association Stadium,Pune,India,Test,27.001151085322476,37.459360775923464,15.52339607701265,13.350652511181078,3.829473962868768,3,361.4708380546898,36.75427794194635,63.24572205805365,Winter,1,Black Soil,6,5.603374638642561,346.84739032678186,0
